                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3713,                0.00673,                0.03005,                 5.3375,             0.00023708,             0.00023708,             0.00023708
                      2,                 5.3291,                0.00817,                0.04712,                 5.3365,             0.00042805,             0.00042805,             0.00042805
                      3,                 5.2339,                0.00938,                0.04904,                 5.3358,             0.00057189,             0.00057189,             0.00057189
                      4,                  5.155,                0.01466,                0.06659,                 5.3348,             0.00050194,             0.00050194,             0.00050194
                      5,                 5.0323,                0.01514,                 0.0774,                 5.3307,             0.00043126,             0.00043126,             0.00043126
                      6,                 4.9213,                0.02332,                0.11514,                 5.3313,             0.00036057,             0.00036057,             0.00036057
                      7,                 4.8194,                0.01611,                0.10168,                  5.327,             0.00028988,             0.00028988,             0.00028988
                      8,                 4.6951,                0.04159,                0.18053,                 5.3243,              0.0002192,              0.0002192,              0.0002192
                      9,                 4.5641,                0.04784,                0.21971,                 5.3198,             0.00014851,             0.00014851,             0.00014851
                     10,                 4.4584,                0.06082,                0.25457,                 5.3179,             7.7826e-05,             7.7826e-05,             7.7826e-05
